Anem_Col,Anemones-Colonial
Anem_Sol,Anemones-Solitary
Asc_SCol,Ascidians-Stalked_Colonial
Asc_SCol_Phallus,Ascidians
Asc_SCol_Rod,Ascidians
Asc_SSol,Ascidians-Stalked_Solitary
Asc_UCol,Ascidians-Unstalked_Colonial
Asc_USol,Ascidians-Unstalked_Solitary
B_Purple,Bryozoa-Purple
BH_BrAnt,Bryozoa-Hard_Branching_antler
BH_BrHead,Bryozoa-Hard_Branching_coralHead
BH_BrLeaf,Bryozoa-Hard_Branching_leaf
BH_Fenestr,Bryozoa-Hard_Fenestrate
BH_Encr,Bryozoa-Hard_Encrusting
BH_Lettuce,Bryozoa-Hard_Lettuce
BH_Mass,Bryozoa-Hard_Massive
BS_Dendr,Bryozoa-Soft_Dendroid
BS_FAN,Bryozoa-Soft_Fan
BS_Foliac,Bryozoa-Soft_Foliaceous
Hyd_Mat,Hydroids-Matrix
HydrC_Encr,HydroCorals-Encrusting
HydrC_Br,HydroCorals-Branching
Hydroid_C,Hydroids-Colonial_feather
Hydroid_S,Hydroids-Solitary
M_Bivalve,Molluscs-Antarctic_Scallop
O_3D_BBCom,Octocorals-Bottle_brush_complex
O_3D_BBSim,Octocorals-Bottle_brush_simple
O_Encr,Octocorals-Coral_Encrusting
O_3D_FlArb,Octocorals-Fleshy_Arborescent
O_3D_MshSt,Octocorals-Fleshy_Mushroom_stalked
O_3D_MshUS,Octocorals-Fleshy_Mushroom_unstalked
O_3D_NFArb,Octocorals-NoFleshy_Bushy
O_3D_NFBsh,Octocorals-NoFleshy_Arborescent
O_2D_Rigid,Octocorals-SeaFan_Coral
O_2D_FernC,Octocorals-SeaFan_Fern_complexe
O_2D_FernS,Octocorals-SeaFan_Fern_simple
O_Seapen,Octocorals-SeaPen
O_Whip,Octocorals-SeaWhip
S_Amorph,Sponges-Massive_amorphous
S_Ball,Sponges-Massive_round
S_Barrel,Sponges-Massive_barrel
S_bead,Sponges-Bead
S_Buried,Sponges-Massive_burried
S_Creep,Sponges-Crust_Creeping
S_CupCmplt,Sponges-Cup_complete
S_CupIncmp,Sponges-Cup_incomplete_curled
S_Disc,Sponges-Cup_disc
S_Encr,Sponges-Crust_Encrusting
S_Er_Br,Sponges-Erect_Branching
S_Er_Lam,Sponges-Erect_Laminar
S_Er_Palm,Sponges-Erect_Palmate
S_Er_Simp,Sponges-Erect_Simple
S_Er_St,Sponges-Massive_stalked
S_Tube,Sponges-Tube
StonyC_Col,Stony_Corals-StonyCoral_Colonial
StonyC_Sol,Stony_Corals-StonyCoral_Solitary
UBS_B,Bryozoa
UBS_Sp,Sponges
W_Tube,Worms-Tube
WP_TubeDF,Worms
WP_TubeSF,Worms
